| Name                                     | Version         | License                                       | Author                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | URL                                                                                                                             |
|------------------------------------------|-----------------|-----------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------|
| protobuf                                 | 4.25.8          | 3-Clause BSD License                          | protobuf@googlegroups.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | https://developers.google.com/protocol-buffers/                                                                                 |
| bandit                                   | 1.8.0           | Apache Software License                       | PyCQA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | https://bandit.readthedocs.io/                                                                                                  |
| googleapis-common-protos                 | 1.72.0          | Apache Software License                       | Google LLC <googleapis-packages@google.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | https://github.com/googleapis/google-cloud-python/tree/main/packages/googleapis-common-protos                                   |
| importlib_metadata                       | 7.1.0           | Apache Software License                       | Jason R. Coombs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | https://github.com/python/importlib_metadata                                                                                    |
| jsonschema-path                          | 0.3.4           | Apache Software License                       | Artur Maciag                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | https://github.com/p1c2u/jsonschema-path                                                                                        |
| openapi-spec-validator                   | 0.7.1           | Apache Software License                       | Artur Maciag                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | https://github.com/python-openapi/openapi-spec-validator                                                                        |
| opentelemetry-api                        | 1.25.0          | Apache Software License                       | OpenTelemetry Authors <cncf-opentelemetry-contributors@lists.cncf.io>                                                                                                                                                                                                                                                                                                                                                                                                                                                             | https://github.com/open-telemetry/opentelemetry-python/tree/main/opentelemetry-api                                              |
| opentelemetry-exporter-otlp-proto-common | 1.25.0          | Apache Software License                       | OpenTelemetry Authors <cncf-opentelemetry-contributors@lists.cncf.io>                                                                                                                                                                                                                                                                                                                                                                                                                                                             | https://github.com/open-telemetry/opentelemetry-python/tree/main/exporter/opentelemetry-exporter-otlp-proto-common              |
| opentelemetry-exporter-otlp-proto-http   | 1.25.0          | Apache Software License                       | OpenTelemetry Authors <cncf-opentelemetry-contributors@lists.cncf.io>                                                                                                                                                                                                                                                                                                                                                                                                                                                             | https://github.com/open-telemetry/opentelemetry-python/tree/main/exporter/opentelemetry-exporter-otlp-proto-http                |
| opentelemetry-proto                      | 1.25.0          | Apache Software License                       | OpenTelemetry Authors <cncf-opentelemetry-contributors@lists.cncf.io>                                                                                                                                                                                                                                                                                                                                                                                                                                                             | https://github.com/open-telemetry/opentelemetry-python/tree/main/opentelemetry-proto                                            |
